genre,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Horror,0.166666667,0.111111111,,,,,0.285714286,0.058823529,0.083333333,0.117647059,,0.052631579,,,0.0625,0.090909091,,0.15,,0.043478261,,,,0.044444444,0.089285714,0.042253521,0.064516129,0.057142857,0.042857143,0.079545455,0.057142857,0.056179775,0.086206897,0.080808081,0.093023256,0.037383178,0.058394161,0.057553957,0.050359712,0.042553191,0.072072072
Comedy,,,,0.1,0.111111111,,,0.111111111,,0.052631579,0.166666667,,,0.071428571,,0.148148148,0.1,0.105263158,0.2,0.125,0.173913043,0.076923077,0.1875,0.180327869,0.130434783,0.166666667,0.13253012,0.157303371,0.222222222,0.150442478,0.151162791,0.203389831,0.148148148,0.15503876,0.154639175,0.148148148,0.066666667,0.134078212,0.102409639,0.130434783,0.125925926
Action,,,,,,,,,,,0.125,0.04,0.125,0.176470588,0.045454545,0.071428571,0.166666667,0.045454545,0.095238095,0.038461538,0.086956522,0.055555556,0.117647059,0.06779661,0.150684932,0.082352941,0.038961039,0.113636364,0.060240964,0.081081081,0.134020619,0.127272727,0.101449275,0.069565217,0.131313131,0.1,0.047058824,0.077777778,0.088888889,0.096774194,0.142857143
Romance,,,,,0.125,0.2,,,,,0.166666667,,,,,0.095238095,,0.111111111,,,0.052631579,0.1,0.152173913,0.137254902,0.084745763,0.070422535,0.092307692,0.068493151,0.128205128,0.113402062,0.057142857,0.144230769,0.070175439,0.047619048,0.085365854,0.107438017,0.085526316,0.102564103,0.089655172,0.09,0.054054054
Sci-Fi,,,,,,,0.125,,,,,,0.083333333,0.090909091,0.055555556,0.045454545,0.066666667,0.052631579,,,0.058823529,,0.025,0.043478261,0.081967213,0.027777778,0.032258065,0.027777778,0.028571429,0.011494253,0.069444444,0.043478261,0.037037037,0.03125,0.049382716,0.027522936,0.03649635,0.028985507,0.049295775,0.031578947,0.035714286
Drama,,0.1,,0.230769231,0.1,0.090909091,,0.052631579,,,0.142857143,0.105263158,0.142857143,0.133333333,,0.153846154,0.111111111,0.105263158,0.117647059,0.066666667,0.208333333,0.179487179,0.254545455,0.2,0.194805195,0.153061224,0.15,0.139784946,0.197916667,0.203125,0.136363636,0.152542373,0.170068027,0.183098592,0.185185185,0.185430464,0.143617021,0.17,0.163934426,0.158730159,0.147058824
Historical,,,,,,,,0.0625,,,,0.058823529,,,,,0.066666667,,,,0.111111111,0.037037037,,,0.019230769,0.015873016,0.050847458,0.015384615,0.014925373,0.011904762,0.03030303,0.023255814,0.036697248,0.021052632,0.038961039,0.028037383,0.036231884,0.05,0.015625,0.022727273,0.018691589
Fantasy,,,,,,,,,,0.0625,,,0.153846154,0.230769231,,0.136363636,,0.058823529,0.125,0.083333333,0.055555556,,0.026315789,0.022727273,0.071428571,0.03125,0.0625,0.028985507,0.041666667,0.034482759,0.054054054,0.056818182,0.044642857,0.030612245,0.104651163,0.052173913,0.029850746,0.0625,0.043165468,0.021052632,0.063063063
Thriller,,0.1,,,,,,0.0625,,0.111111111,,0.058823529,,,0.058823529,0.136363636,,0.1,0.071428571,,,0.034482759,0.023255814,0.08,0.050847458,0.028985507,0.063492063,0.026666667,0.066666667,0.011235955,0.08,0.043956044,0.081818182,0.058252427,0.045977011,0.043859649,0.041958042,0.072847682,0.060402685,0.048543689,0.082644628
